size	Count
1396	8
1376	9
4228	10
3383	14
8027	3
4289	7
2216	13
1640	24
4239	9
1308	13
3353	12
2259	18
2436	14
2289	13
7427	8
2125	13
1280	22
1288	17
2215	9
4209	6
1580	21
1875	8
3097	13
4460	17
1608	24
2391	16
7399	2
2866	7
7056	1
858	6
179	5
5044	3
4602	3
3643	3
1846	9
2000	8
5862	2
2817	6
9699	2
4046	5
2153	15
5208	3
1569	12
6894	2
4506	16
4085	10
498	3
1478	12
1628	15
1231	11
7268	4
2480	10
2875	10
3379	15
2103	14
1607	19
2433	11
4566	7
4505	14
10379	2
4486	10
1966	13
3753	6
8436	2
6002	6
3635	3
5863	5
806	11
3646	10
2376	10
3048	12
677	8
5165	2
4310	5
7507	2
4622	6
2264	12
1523	15
10502	1
4458	21
1993	11
1570	11
2380	5
2813	9
1201	6
3538	7
1508	10
7510	3
7862	2
2285	13
2076	9
7395	3
2453	19
4479	11
1230	10
284	2
956	4
1867	14
4613	3
2682	4
1584	19
2489	15
1343	20
4012	4
5561	3
3584	9
491	5
2857	11
6047	1
7313	3
11696	1
8366	33
2362	11
8673	2
4064	9
8276	4
5055	2
1926	7
3479	8
1868	8
3434	32
775	7
2960	14
2020	10
4151	8
1038	7
8048	5
1641	12
4127	10
4199	15
1331	6
3163	5
2365	9
5967	7
4164	9
4126	8
3080	10
1377	11
2232	13
8036	4
4055	2
2062	8
8018	2
1005	10
5660	2
342	4
7180	2
1420	9
628	7
2958	6
4414	8
1243	17
4194	8
3342	12
7311	3
4276	5
6679	3
3476	21
1458	9
352	2
7385	2
1252	16
7928	2
1390	6
2473	18
2260	18
9377	1
7911	4
1740	5
3477	10
8071	2
5827	1
2818	4
1534	9
1350	12
2786	9
7757	2
3789	6
148	1
3126	10
7646	1
3492	7
8091	4
1708	12
1294	12
818	6
3134	14
6999	2
3680	14
3480	11
3267	13
3781	7
3773	5
4020	5
1766	8
7603	4
2095	8
2908	15
7775	1
3831	7
3143	19
1366	10
2868	7
8680	2
3852	4
12232	2
4078	5
4165	8
239	8
2148	16
3844	7
6600	3
8152	1
2995	13
4203	6
4448	12
3787	4
7796	3
1471	8
10038	2
2838	10
2213	7
8468	1
7541	4
4090	8
3644	7
2587	14
2416	13
3632	8
1558	12
2145	12
7244	3
1941	14
3271	11
5227	5
1495	6
6971	5
4231	6
1994	6
3137	12
3494	4
3656	9
1965	6
993	9
2822	5
5023	3
1991	16
8577	1
13823	1
1319	15
841	11
766	6
3235	8
346	7
4117	11
4285	9
2581	4
3809	7
2965	6
9411	1
7660	3
7711	1
1573	15
7782	2
2650	6
1659	94
4224	6
3541	6
1334	16
3314	10
5390	3
8319	7
2651	10
5554	3
2660	10
2159	6
10436	2
2132	16
3292	10
2463	8
3914	8
7568	4
1767	10
1884	12
2636	5
4515	6
2805	9
3173	11
3099	13
4089	5
2120	12
7721	3
3487	6
1250	13
632	7
2474	21
1263	14
4456	11
3761	2
4134	5
2772	10
7809	4
3142	15
7654	7
1050	7
1177	9
3542	9
3965	3
4144	9
3815	6
2280	9
1442	5
3130	13
1031	14
7923	4
2183	16
2871	10
3169	11
3597	5
1874	8
7740	4
4379	7
6247	1
4174	9
3174	9
3084	12
1315	14
9573	2
1973	7
7991	3
3101	17
981	7
1378	12
4210	10
1397	11
1299	19
2166	18
2086	9
4415	9
1371	14
2804	8
4193	12
7942	4
1210	11
2966	10
3018	3
3974	8
2295	13
503	11
1489	12
2836	7
4137	16
1001	9
4242	10
268	3
1138	6
1127	8
1466	14
1384	7
1168	9
4233	9
1433	10
2483	5
5674	5
1368	12
4334	3
1260	7
5726	2
5148	5
2880	48
2566	7
984	5
8000	8
1450	14
2068	10
4266	6
4341	5
1594	20
4170	10
4654	6
1885	9
6763	1
2708	8
7502	2
2712	15
1393	8
4315	7
2327	18
4204	8
7203	2
2175	32
7293	3
1525	18
8047	2
7949	7
2206	16
3079	11
3964	4
2406	17
3043	13
4156	11
896	2
1549	20
4463	12
7956	2
3076	18
4162	8
8402	4
4026	5
279	2
4208	7
5043	2
7708	1
8881	5
2413	9
3422	35
2091	13
7614	1
2036	110
4355	6
2626	6
4525	10
4053	7
2692	8
6195	2
577	7
2678	11
690	5
1647	29
1104	10
14868	1
1588	12
2903	30
2332	11
1907	10
11094	1
2503	13
7732	4
3868	4
5913	5
2108	12
3569	7
1447	16
4376	7
2637	5
2253	16
7512	3
8572	1
7253	3
4472	7
2973	13
6068	1
9345	3
817	6
405	5
1805	13
2027	17
3948	4
2631	15
4465	13
1802	5
2639	10
4619	1
1572	22
8894	1
2018	10
2438	14
2482	13
4191	6
1629	19
8198	1
4586	4
1388	11
6045	2
5880	3
2745	12
1513	14
4914	4
7048	3
1116	13
2239	18
8294	6
5263	4
1762	8
1136	7
915	9
2381	9
2339	12
511	1
2984	8
5628	2
4179	14
4466	6
3652	8
1894	8
4498	7
2342	10
14153	3
1418	12
2906	13
7497	5
8136	3
5153	3
3229	9
1445	8
330	7
7858	1
1429	11
5546	3
1627	24
2749	10
5075	2
2575	11
4860	5
6294	5
194	3
1071	6
3749	7
1649	42
3199	5
5156	5
4766	6
1097	9
3328	8
1944	13
126	1
8082	4
5919	1
8660	2
6360	3
5223	3
3875	7
1346	15
3618	7
1145	4
1417	18
6857	2
6090	5
4202	8
8249	6
7982	8
2567	7
1285	17
7461	2
4096	10
2980	6
2776	10
4249	5
2099	18
6513	2
2431	7
5091	2
1304	23
2098	9
1547	12
7370	4
4360	5
2734	12
1406	7
8171	4
6793	2
2449	11
2217	11
8110	1
8412	2
3082	18
6007	1
4348	6
931	10
8128	3
5344	2
1716	10
804	9
5501	3
3146	16
2282	16
4290	4
1401	10
1407	8
4300	6
4453	14
4270	7
8777	1
1779	13
3313	9
7619	1
302	10
3616	8
1774	10
4163	10
8115	2
912	13
3316	6
2128	15
3424	30
2016	11
4104	6
8978	3
3481	9
3178	10
3145	13
1579	20
1927	7
8019	2
1837	10
3198	11
3128	13
2773	5
2632	6
3865	5
7842	6
8340	8
3031	12
3166	6
2149	16
4023	11
3819	3
3904	3
2222	10
627	6
29285	1
7199	4
4481	8
2985	10
3910	4
6792	3
1300	14
5717	4
7585	3
2797	8
2738	11
3923	5
7777	4
1772	6
2114	15
2837	10
4687	4
5667	5
2934	8
3153	14
6410	1
1147	8
3017	9
1886	10
3903	2
1070	8
3982	7
3772	4
3775	5
3845	10
1986	10
1137	13
1360	14
3874	7
2701	11
7344	7
9328	1
8342	4
4850	1
1339	14
3760	3
8547	2
6290	4
3876	2
1881	10
4748	6
2770	4
1717	13
1075	7
3897	9
8067	4
5332	3
3710	5
4129	12
12742	2
4080	4
4099	6
334	4
2065	7
4215	7
7878	5
4095	8
7748	1
1359	10
2147	18
1257	9
3087	14
3551	5
2198	7
3183	5
7713	6
8010	5
1253	7
2083	13
1733	9
11227	2
1235	8
4727	2
4206	12
1515	14
2116	10
3060	19
1279	14
312	2
4262	2
2936	4
2408	20
7999	2
6737	5
8058	2
2096	17
1710	8
1362	12
1535	15
4251	10
3810	5
3164	14
2419	14
7622	4
797	8
2023	6
7642	1
7788	4
3129	11
1303	14
3967	10
1379	9
1491	12
9296	1
4328	6
7989	5
7052	4
2130	11
3098	15
1923	12
2401	9
2313	14
4123	6
4073	5
1237	15
8850	2
1443	13
8020	5
7802	4
1482	9
3245	5
3711	8
7780	4
3488	5
4142	8
2459	11
2599	7
1411	6
3364	15
